booth,station,station_name,line_name,division,borough,right_of_way,location,position,access,into,status,tracked_as,details,has_booth,lat,lon
H011,LORIMER ST,Lorimer St,LG,BMT,Bk,Metropolitan Ave,Union Ave,,N/B,,Open,N409,,0,40.714127,-73.951124
H012,LORIMER ST,Lorimer St,LG,BMT,Bk,Metropolitan Ave,Lorimer St,,Mez,,Open,,,0,40.714067,-73.949365
H013,GRAHAM AV,Graham Av,L,BMT,Bk,Metropolitan Ave,Graham Ave,,N/B,,Open,,,1,40.714616,-73.944403
H014,GRAHAM AV,Graham Av,L,BMT,Bk,Metropolitan Ave,Graham Ave,,S/B,,Open,,,0,40.714441,-73.944376
H015,GRAND ST,Grand St,L,BMT,Bk,Bushwick Ave,Grand St,,N/B,,Open,,,1,40.711983,-73.940573
H016,GRAND ST,Grand St,L,BMT,Bk,Bushwick Ave,Grand St,,S/B,,Open,,,0,40.711947,-73.940796
H017,MONTROSE AV,Montrose Av,L,BMT,Bk,Bushwick Ave,Montrose Ave,,Mez,,Open,,,1,40.707737,-73.939853
H018,MORGAN AV,Morgan Av,L,BMT,Bk,Harrison Pl,Bogart St,,Mez,,Open,H019,,0,40.706072,-73.933708
H019,MORGAN AV,Morgan Av,L,BMT,Bk,Harrison Pl,Morgan Ave,,Mez,,Open,,,1,40.706332,-73.931993
H020,JEFFERSON ST,Jefferson St,L,BMT,Bk,Wyckoff Ave,Jefferson St,,N/B,,Open,H022,,0,40.707156,-73.923584
H021,JEFFERSON ST,Jefferson St,L,BMT,Bk,Wyckoff Ave,Jefferson St,,S/B,,Open,H022,,0,40.707000,-73.923745
H022,JEFFERSON ST,Jefferson St,L,BMT,Bk,Wyckoff Ave,Starr St,,Mez,,Open,,,1,40.706132,-73.922152
H023,DEKALB AV,DeKalb Av,L,BMT,Bk,Wyckoff Ave,DeKalb Ave,,Mez,,Open,,,1,40.704311,-73.919237
H024,DEKALB AV,DeKalb Av,L,BMT,Bk,Wyckoff Ave,Stanhope St,,N/B,,Open,H023,,0,40.703467,-73.917730
H025,DEKALB AV,DeKalb Av,L,BMT,Bk,Wyckoff Ave,Stanhope St,,S/B,,Open,H023,,0,40.703358,-73.917840
