booth,station_id,station_id_2,station_id_3,complex_id,stop_name,complex_name
N224,210,,,210,Norwood-205 St,
N225,210,,,210,Norwood-205 St,
N222,211,,,211,Bedford Park Blvd,
N223,211,,,211,Bedford Park Blvd,
N220,212,,,212,Kingsbridge Rd,
N221,212,,,212,Kingsbridge Rd,
N217,213,,,213,Fordham Rd,
N218,213,,,213,Fordham Rd,
N219,213,,,213,Fordham Rd,
N215,214,,,214,182-183 Sts,
N213,215,,,215,Tremont Av,
N214,215,,,215,Tremont Av,
N210,216,,,216,174-175 Sts,
N212,216,,,216,174-175 Sts,
N208,217,,,217,170 St,
N208A,217,,,217,170 St,
N209,217,,,217,170 St,
N206,218,,,218,167 St,
N207,218,,,218,167 St,
N203,219,,,604,161 St-Yankee Stadium,161 St - Yankee Stadium
N204,219,,,604,161 St-Yankee Stadium,161 St - Yankee Stadium
N205,219,,,604,161 St-Yankee Stadium,161 St - Yankee Stadium
N202,220,,,220,155 St,
N603,221,,,221,21 St-Queensbridge,
N602,222,,,222,Roosevelt Island,
N601,223,,,223,Lexington Av/63 St,
N601A,223,,,223,Lexington Av/63 St,
N600,224,,,224,57 St,
N500,225,,,225,47-50 Sts-Rockefeller Ctr,
N500A,225,,,225,47-50 Sts-Rockefeller Ctr,
N500B,225,,,225,47-50 Sts-Rockefeller Ctr,
N501,225,,,225,47-50 Sts-Rockefeller Ctr,
N501A,225,,,225,47-50 Sts-Rockefeller Ctr,
N502,226,,,609,42 St-Bryant Pk,42 St - Bryant Pk / 5 Av
N503,226,,,609,42 St-Bryant Pk,42 St - Bryant Pk / 5 Av
N504,226,,,609,42 St-Bryant Pk,42 St - Bryant Pk / 5 Av
N505,227,12,,607,34 St-Herald Sq,34 St - Herald Sq
N505A,227,12,,607,34 St-Herald Sq,34 St - Herald Sq
N506,227,12,,607,34 St-Herald Sq,34 St - Herald Sq
N507,227,,,607,34 St-Herald Sq,34 St - Herald Sq
N508,228,,,228,23 St,
N509,228,,,228,23 St,
N510,229,,,601,14 St,14 St / 6 Av
N511,229,,,601,14 St,14 St / 6 Av
N512,229,,,601,14 St,14 St / 6 Av
N513,229,,,601,14 St,14 St / 6 Av
N519,230,,,619,Broadway-Lafayette St,Broadway-Lafayette St / Bleecker St
N519A,230,408,,619,Broadway-Lafayette St,Broadway-Lafayette St / Bleecker St
N520,231,,,231,Grand St,
N521,232,,,232,2 Av,
N523,232,,,232,2 Av,
N525,233,102,,625,Delancey St-Essex St,Delancey St / Essex St
N526,233,102,,625,Delancey St-Essex St,Delancey St / Essex St
N526A,233,102,,625,Delancey St-Essex St,Delancey St / Essex St
N528,234,,,234,East Broadway,
N529,234,,,234,East Broadway,
N530,235,,,235,York St,
N531,236,,,236,Bergen St,
N531A,236,,,236,Bergen St,
N532,236,,,236,Bergen St,
N533,236,,,236,Bergen St,
N534,237,,,237,Carroll St,
N534A,237,,,237,Carroll St,
N535,237,,,237,Carroll St,
N536,238,,,238,Smith-9 Sts,
N537,239,29,,608,4 Av-9 St,4 Av - 9 St
N539,240,,,240,7 Av,
N539A,240,,,240,7 Av,
N541,241,,,241,15 St-Prospect Park,
N542,241,,,241,15 St-Prospect Park,
N543,242,,,242,Fort Hamilton Pkwy,
N544,242,,,242,Fort Hamilton Pkwy,
N545,243,,,243,Church Av,
N546,243,,,243,Church Av,
N547,244,,,244,Ditmas Av,
N548,244,,,244,Ditmas Av,
N549,245,,,245,18 Av,
N550,245,,,245,18 Av,
